1,LMGS-XB（TF),12163130020001,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,2007年6月11日,,陕西重汽,WD615．50,1507L674307,LZGELBM4X8X036408,闲置,4-2,西  标,,2016年5月20日,2008年7月1日,7350*2500*3400,," 342,873.15 ",," 342,873.15 ",,CILC,永久,02905-207-16,
2,BJY（二）,12163130020002,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,2007年10月1日,,陕西重汽,WD615．50,1507J198854,LZGELBM4X7X042529,在用,2,贝佳亚,二工区,2013年11月20日,2008年7月1日,7350×2500×3400,," 342,873.15 ",," 342,873.15 ",,CILC转亚昌,永久,01793-208-16,
3,LMGS-XB（TF),12163130020007,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,,,陕西重汽,WD615．50,1507J198911,LZGELBM497X042537,闲置,4-2,西  标,,2016年5月20日,2008年7月1日,7350*2500*3400,," 342,873.15 ",," 342,873.15 ",,CILC转亚昌,永久,02685-207-16,
4,BJY（二）,12163130020008,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,,,陕西重汽,WD615．50,1507J198072,LZGELBM497X042523,闲置,3,贝佳亚,二工区,2013年11月30日,2008年1月18日,7350×2500×3400,," 261,932.70 ",," 261,932.70 ",,CILC转亚昌,永久,02561-207-16,
5,TLB（出口）,12163130020009,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,2008年8月18日,,陕西重汽,WD615．50,1507L674309,LZGELBM488X036410,在用,2,铁路标,隧道出口,2013年11月30日,2008年10月23日,7350*2500*3400,," 261,932.70 ",," 261,932.70 ",,CILC转亚昌,永久,02752-208-16,
6,BJY（中标）,12163130020010,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,2007年7月7日,,陕西重汽,WD615．50,1507K208661,LZGELBM487X042545,在用,2,贝佳亚,中标工地,2013年11月30日,2008年1月24日,7350×2500×3400,," 261,932.70 ",," 261,932.70 ",,CILC转亚昌,永久,02853-207-16,
7,TLB（阿福隆),12163130020011,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,2007年11月11日,,陕西重汽,WD615．50,1507G148494,LZGELBM487X028032,闲置,4-2,铁路标,阿福隆营地,2013年11月30日,2007年11月18日,7350*2500*3400,," 261,932.70 ",," 261,932.70 ",,CILC转亚昌,永久,03029-207-16,
8,TLB4（阿福隆),12163130020012,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,,,陕西重汽,WD615．50,1507G151719,LZGELBM487X028001,闲置,4-2,铁路标,阿福隆营地,2013年11月30日,2007年11月18日,7350*2500*3400,," 261,932.70 ",," 261,932.70 ",,CILC转亚昌,永久,02239-207-16,
9,TLB4（阿福隆),12163130020013,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,,,陕西重汽,WD615．50,1507J198875,LZGELBM487X042527,闲置,4-2,铁路标,阿福隆营地,2013年11月30日,2008年1月18日,7350*2500*3400,," 261,520.35 ",," 261,520.35 ",,CILC转亚昌,永久,02971-207-16,
10,TLB（出口）,12163130020015,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,2008年8月8日,,陕西重汽,WD615．50,1502E099283,LZGELBM478X035636,闲置,4-2,铁路标,隧道出口,2013年11月30日,2008年10月21日,7350*2500*3400,," 266,988.04 ",," 266,988.04 ",,CILC转亚昌,永久,02896-208-16,
11,TLB（出口）,12163130020016,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,2007年11月11日,,陕西重汽,WD615．50,1507K207086,LZGELBM477X042557,闲置,3,铁路标,隧道出口,2013年11月30日,2008年1月24日,7350*2500*3400,," 266,988.04 ",," 266,988.04 ",,CILC转亚昌,永久,02935-207-16,
12,TLB4（阿福隆),12163130020017,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,2007年11月11日,,陕西重汽,WD615．50,1507J198869,LZGELBM477X042536,闲置,4-2,铁路标,阿福隆营地,2013年11月30日,2008年1月24日,7350*2500*3400,," 266,988.04 ",," 266,988.04 ",,CILC,永久,03015-207-16,
13,BJY（TF),12163130020018,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,,,陕西重汽,WD615．50,1507K298662,LZGELBM477X042553,闲置,4-2,贝佳亚,5#停车场,2014年10月30日,2008年1月24日,7350×2500×3400,," 253,105.26 ",," 253,105.26 ",,CILC转亚昌,永久,02962-207-16,
14,TLB4（阿福隆),12163130020019,自卸车（厢斗）,运输设备,SX3254BM294,25T,206,2007年11月11日,,陕西重汽,WD615．50,1507J198909,LZGELBM476X042544,闲置,4-2,铁路标,阿福隆营地,2013年11月30日,2008年1月24日,7350*2500*3400,," 253,105.26 ",," 253,105.26 ",,CILC转亚昌,永久,02967-207-16,
